TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
05.01.2000 00:00:00;39;343;10000.0;1;0;0.1;0.0997;9971.01
05.01.2000 00:00:00;16;253;10000.0;1;0;0.1;0.0999;9994.2586
05.01.2000 00:00:00;40;304;10000.0;1;0;0.1;0.1000;9996.5232
05.01.2000 00:00:00;11;153;10000.0;1;0;0.1;0.0998;9983.25
05.01.2000 00:00:00;14;497;10000.0;1;0;0.1;0.1000;9996.658
05.01.2000 00:00:00;1;131;10000.0;1;0;0.1;0.1000;9999.6230
05.01.2000 00:00:00;23;128;10000.0;1;0;0.1;0.0994;9943.0400
05.01.2000 00:00:00;27;300;10000.0;1;0;0.1;0.0998;9984.6004
05.01.2000 00:00:00;9;41;10000.0;1;0;0.1;0.0998;9982.8437
05.01.2000 00:00:00;7;124;10000.0;1;0;0.1;0.0995;9951.00
19.01.2000 00:00:00;39;254;9834.1162;3;0;0.2;0.0850;9796.78
19.01.2000 00:00:00;7;-124;-10515.2003784179672;2;0;0;-0.0912;-10515.2004
19.01.2000 00:00:00;40;260;10640.1494;3;0;0.2;0.0921;10625.3420
19.01.2000 00:00:00;9;-41;-11698.6533203125;2;0;0;-0.1014;-11698.6533
19.01.2000 00:00:00;16;268;11868.3762;3;0;0.2;0.1028;11859.00
19.01.2000 00:00:00;23;-128;-11264.0000;2;0;0;-0.0977;-11264
19.01.2000 00:00:00;14;499;11557.6289;3;0;0.2;0.1002;11552.2991
19.01.2000 00:00:00;27;-300;-11231.1000823974600;2;0;0;-0.0974;-11231.1001
19.01.2000 00:00:00;1;132;11601.1262;3;0;0.2;0.1002;11550.0
19.01.2000 00:00:00;11;-153;-10595.2500;2;0;0;-0.0919;-10595.25
